excluded_reason,title,price,location,date,model,storage,price_num,normalized_link
Duplicate link,iPhone 16 e 128G 白色,"NT$18,500","Taipei, Taiwan",2025-06-25,iPhone 16,128,18500.0,https://www.facebook.com/marketplace/item/1945354916210033/
Duplicate link,售二手iPhone 14 Pro 256G 或全新 iPhone 16 Pro 256G,"NT$16,500","Taipei, Taiwan",2025-06-25,Multiple,256,16500.0,https://www.facebook.com/marketplace/item/735377885567926/
Duplicate link,【販售商品】I phone 16 e 256g,"NT$19,000",New Taipei City,2025-06-25,iPhone 16,256,19000.0,https://www.facebook.com/marketplace/item/1223070466113964/
Duplicate link,I phone15 pro 128,"NT$22,000",New Taipei City,2025-06-25,iPhone 15 Pro,128,22000.0,https://www.facebook.com/marketplace/item/1455318285840425/
Duplicate link,I phone15 plus 256,"NT$20,000","Taipei, Taiwan",2025-06-25,iPhone 15 Plus,256,20000.0,https://www.facebook.com/marketplace/item/973780137886885/
Duplicate link,16-128G 電池99 不議價,"NT$20,500",New Taipei City,2025-06-25,iPhone 16,128,20500.0,https://www.facebook.com/marketplace/item/1279109503639630/
Duplicate link,iPhone 16e 白 128G,"NT$18,800",New Taipei City,2025-06-25,iPhone 16E,128,18800.0,https://www.facebook.com/marketplace/item/1267186531539634/
Duplicate link,iPhone 16 128GB 白色 原廠保固至2026/03/28,"NT$23,000","Taipei, Taiwan",2025-06-25,iPhone 16,128,23000.0,https://www.facebook.com/marketplace/item/1348348339572891/
Duplicate link,iPhone16 128g白￼,"NT$22,000",New Taipei City,2025-06-25,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/4079247978995713/
Duplicate link,IPhone 16 Pro - 128Gb likenew Fullbox,"NT$25,000",New Taipei City,2025-06-25,iPhone 16 Pro,128,25000.0,https://www.facebook.com/marketplace/item/691576650541196/
Duplicate link,iphone 14 pro 256g 紫色,"NT$16,000",New Taipei City,2025-06-25,iPhone 14 Pro,256,16000.0,https://www.facebook.com/marketplace/item/1081638170500962/
Duplicate link,iPhone 16E 256Gb,"NT$22,000",New Taipei City,2025-06-25,iPhone 16E,256,22000.0,https://www.facebook.com/marketplace/item/1364318504652085/
Duplicate link,iPhone 16 pro 128g,"NT$29,500","Taipei, Taiwan",2025-06-25,iPhone 16 Pro,128,29500.0,https://www.facebook.com/marketplace/item/690827763856461/
Duplicate link,全新 iPhone 16 Pro 256GB 黑色,"NT$37,000",New Taipei City,2025-06-25,iPhone 16 Pro,256,37000.0,https://www.facebook.com/marketplace/item/721913153824246/
Duplicate link,[雙北面交] iPhone 16 ProMax 256GB（金色/原色）全新未拆封,"NT$38,700",New Taipei City,2025-06-25,iPhone 16 Pro Max,256,38700.0,https://www.facebook.com/marketplace/item/1015489680772280/
Duplicate link,iPhone 16e 256 白✨功能正常 雙北桃面交,"NT$19,500",New Taipei City,2025-06-25,iPhone 16E,256,19500.0,https://www.facebook.com/marketplace/item/2987487504891512/
Duplicate link,Iphone 15 128g,"NT$16,000","Taipei, Taiwan",2025-06-25,iPhone 15,128,16000.0,https://www.facebook.com/marketplace/item/1215464859983904/
Duplicate link,比原廠便宜$3000元 【出售】 iPhone 16e 128灰 【容量】128G 【保固】原廠保固一年 【電池健康度】 100% 【外觀】 全新未拆 【貨源】 公司貨 【售價】$18900 【電話,"$18,900",New Taipei City,2025-06-25,iPhone 16E,128,18900.0,https://www.facebook.com/marketplace/item/1056774839115279/
Duplicate link,Iphone16e 128g 黑 全新未拆 電信續約機,"NT$18,800","Taipei, Taiwan",2025-06-25,iPhone 16E,128,18800.0,https://www.facebook.com/marketplace/item/743298051381896/
Duplicate link,iPhone 16e 128G 黑 健康度100% S級福利品 原廠保固內 實機拍攝 #41430,"NT$17,500",New Taipei City,2025-06-25,iPhone 16E,128,17500.0,https://www.facebook.com/marketplace/item/712462951280159/
Duplicate link,Apple iPhone 16 128G 黑,"NT$10,000","Taipei, Taiwan",2025-06-25,iPhone 16,128,10000.0,https://www.facebook.com/marketplace/item/1117662607047478/
